Year,Station ID,County,Signing,State Route,County Road,Road Name,Beginning Description,Ending Description,Municipality,Length,Functional Class,Ramp,Bridge,Railroad Crossing,One Way,Count,address,latitude2,longitude2
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,NY 9A / HENRY HUDSON PKWY,M CORBIN DR,Manhattan,50,16,,Y,,Y,1812.0,Manhattan M CORBIN DR NY 9A / HENRY HUDSON PKWY M CORBIN DR,40.8625059,-73.9327062
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42055,New York,,,,M CORBIN DR,FT WASHINGTON AVE,M CORBIN DR,Manhattan,31,16,,Y,,Y,1812.0,Manhattan M CORBIN DR FT WASHINGTON AVE M CORBIN DR,40.8592736,-73.9340892
2019,42056,New York,,,,AVENUE C,E HOUSTON ST,E 18TH ST,Manhattan,82,16,,,,,9445.0,Manhattan AVENUE C E HOUSTON ST E 18TH ST,40.7243642,-73.9934912
2019,42057,New York,,,,E 53RD ST,FIFTH AVE,SUTTON PL S,Manhattan,79,17,,,,Y,9772.0,Manhattan E 53RD ST FIFTH AVE SUTTON PL S,40.7604181,-73.9758308
2019,42058,New York,,,,E BROADWAY,CHATHAM SQUARE,GRAND ST,Manhattan,83,16,,,,,10554.0,Manhattan E BROADWAY CHATHAM SQUARE GRAND ST,40.7137723,-73.9980712
2019,42059,New York,,,,W 11TH ST,WEST ST,FIFTH AVE,Manhattan,84,17,,,,Y,4785.0,Manhattan W 11TH ST WEST ST FIFTH AVE,40.7363151,-74.0026687
2019,42060,New York,,,,E 3RD ST,BOWERY,AVENUE D,Manhattan,81,17,,,,Y,3526.0,Manhattan E 3RD ST BOWERY AVENUE D,40.7246499,-73.9876628
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,E 8TH ST,Manhattan,63,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST E 8TH ST,40.72232,-73.9971565
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
2019,42061,New York,,,,LAFAYETTE ST,SPRING ST,GRAND ST,Manhattan,19,16,,,,Y,16254.0,Manhattan LAFAYETTE ST SPRING ST GRAND ST,40.7182077,-73.9935751
